Team,Total Matches With,Wins With,Losses With,Wins Against,Losses Against,Delta Against,Delta With
5672,8,0,2,2,4,-2,-2
6978,8,1,1,1,5,-4,0
7329,2,1,0,1,0,1,1
6141,6,1,1,2,2,0,0
6564,2,0,1,0,1,-1,-1
6397,10,1,3,0,6,-6,-2
6867,6,0,1,2,3,-1,-1
1690,2,0,1,0,1,-1,-1
5567,1,0,0,0,1,-1,0
1918,1,0,0,0,1,-1,0
7480,12,2,3,1,6,-5,-1
2502,2,0,1,0,1,-1,-1
4481,1,0,1,0,0,0,-1
6401,1,0,0,0,1,-1,0
3618,1,0,1,0,0,0,-1
1676,2,0,1,0,1,-1,-1
3624,1,0,0,0,1,-1,0
175,1,0,1,0,0,0,-1
7462,1,0,0,0,1,-1,0
836,1,1,0,0,0,0,1
6806,1,0,0,1,0,1,0
7885,1,1,0,0,0,0,1
5501,1,0,0,1,0,1,0
5951,1,0,0,1,0,1,0
103,1,0,0,1,0,1,0
5084,1,1,0,0,0,0,1
7651,1,0,0,1,0,1,0
7719,1,0,0,1,0,1,0
5943,1,0,1,0,0,0,-1
3542,2,0,0,0,2,-2,0
88,1,0,0,0,1,-1,0
3707,1,1,0,0,0,0,1
2830,1,0,0,1,0,1,0
4143,1,0,1,0,0,0,-1
3555,1,0,1,0,0,0,-1
2791,2,0,1,0,1,-1,-1
1781,1,0,0,0,1,-1,0
3667,1,0,0,0,1,-1,0
6378,5,0,1,3,1,2,-1
7136,6,1,1,3,1,2,0
7520,10,1,3,3,3,0,-2
6461,2,0,1,0,1,-1,-1
7664,1,0,0,0,1,-1,0
